"source_CSOL","transcription","gloss","translation_CSOL"
"vol2text02","wa-yəḷɛ́bok wa-məy ṭáˁam muḫtáľif ˁan ŝḥaf","and-be_thick.3SG.M.IMPF and-ABLA.3SG.M taste different from milk","“It is thick and tastes different from the milk.”"
"vol2text02","yəšóumaẓ̂ ˁaf ľišɛ́nḳaḷ wa-ḷaṭ yənóuŝob di-ṣ̌ádhər waľľá di-sfəríyye","shake_milk.PASS.3SG.M.IMPF until yield_butter.3SG.M.JUSS and-then pour.PASS.3SG.M.IMPF GEN-cooking_pot or GEN-pan","“The curds are shaken until they yield butter clumps. Then it (the fresh butter) is poured into a pot or pan.”"
"vol2text02","wa-yəˁúḳaḷ məy ḥímaẓ̂ ḥŝəy wa-ˀaḷ-yóusod bə-ŝiyáṭ","and-put.PASS.3SG.M.IMPF ABLA.3SG.M souring_agent alone.3SG.M and-NEG-put_on_fire.PASS.3SG.M.IMPF LOC-fire","“Part is removed (to serve) as a souring agent, and this part is not put on the fire.”"
"vol2text02","wa-yəróuḳaḥ məy də di-ˀóurɛ ḥŝəy wa-də di-ḥəṣérən bəy ḥŝəy","and-take_out.PASS.3SG.M.IMPF ABLA.3SG.M DEM.PROX GEN-season_rice.PASS.IMPF.3SG.M LOC.3SG.M alone.3SG.M","“And parts are taken for drinking and pouring on rice.”"
"vol2text02","wa-də di-ˁúmor məy ḥámdɛhɛr ḥŝəy wa-də di-ˁúmor məy mə́ḳdəf ḥŝəy wa-ḳáṭməhim ḥŝəy","and-PROX.DEM GEN-make.PASS.3SG.F.IMPF ABLA.3SG.M boiled_buttermilk alone.3SG.M and-PROX.DEM GEN-make.PASS.3SG.F.IMPF ABLA.3SG.M stirred_boiled_buttermilk alone.3SG.M and-butter alone.3SG.M","“A part is made into non-stirred boiled buttermilk (ḥámdɛhɛr); a part is made into stirred boiled buttermilk (mə́ḳdəf). Another thing is fresh butter.”"
"vol2text02","ḥámdɛhɛr yhe yékən báˁad-aḷ syɛd ḥéḷob bə-ŝiyáṭ","boiled_buttermilk 3SG.M be.3SG.M.IMPF after-PF put_on_fire.PASS.3SG.M.PF buttermilk LOC-fire","“Boiled buttermilk (non-stirred): it is produced when buttermilk is put on the fire.”"
"vol2text02","wa-yékən ŝəľɛ ṭabaḳát ṭábḳa di-ḥámdɛhɛr mən ˁáľɛ tóˀo əṭľífo wa-ľikán se ľibɛ́ko wa-ṭábḳa bə-ˁamḳ di-rího šə́ẓ̂har wa-mən ľéḥe ṭábḳa di-ḥamədéro ḷəbíne","and-be.3SG.M.IMPF three.F layer.PL layer GEN-boiled_buttermilk from upwards as/like skin_on_milk and-but 3SG.F be_thick.3SG.F.PF and-layer LOC-middle GEN-water green.SG.M and-from downward layer GEN-boiled_buttermilk.DIM white.SG.F","“It consists of three layers: an upper layer of thick buttermilk, like skin on milk (but thick); and water in the middle, which is greenish; and a lower layer of buttermilk, which is white.”"
"vol2text02","wa-yóusod ḥéḷob bə-ŝiyáṭ di-fḥam wa-ˀaḷ-yəḳóudof ˁəy","and-put_on_fire.PASS.3SG.M.IMPF buttermilk LOC-fire GEN-coal.PL and-NEG-stir.PASS.3SG.M.IMPF SUPE.3SG.M","“Buttermilk is put on glowing embers and not stirred.”"
"vol2text02","yəˁúḳaḷ ˁaf ľibhóḷ yənóutog wa-yəˁúḳaḷ ˁaf ḷə-ˁóŝi yékən ḥámdɛhɛr","put.PASS.3SG.M.IMPF until be_cooked.3SG.M.JUSS remove_from_fire.PASS.3SG.M.IMPF until SUPE-dawn be.3SG.M.IMPF boiled_buttermilk","“It is left on the fire until ready, then it is removed and left until the next morning, when it is ḥámdɛhɛr.”"
"vol2text02","wa-yétə di-ˁégəb wa-də di-yəkɛ́ˀɛ ke ˁəmédo mən ḥámdɛhɛr wa-mən mə́ḳdəf wa-mən ḥímaẓ̂ yəˁúšor wa-yətóuḳab wa-yəḳóudof ˁəy wa-yəˁúḳaḷ ˁaf ľitéḳab","and-eat.3SG.M.IMPF GEN-want.3SG.M.PF and-PROX.DEM GEN-remain.3SG.M.IMPF when evening from boiled_buttermilk and-from stirred_boiled_buttermilk and-from souring_agent mix.PASS.3SG.M.IMPF and-collect.PASS.3SG.M.IMPF SUPE.3SG.M and-put.PASS.3SG.M.IMPF until collect.PASS.3SG.M.JUSS","“Whoever wants to eats from it, and what is left at evening—from ḥámdɛhɛr, from mə́ḳdəf and from the curds used as a souring agent—all of this is mixed, put together, and stirred so that it becomes one big mass.”"
"vol2text02","mə́ḳdəf yhe yékən báˁad-aḷ syɛd ḥéḷob bə-ŝiyáṭ","stirred_boiled_buttermilk 3SG.M be.3SG.M.IMPF after-PF put_on_fire.PASS.3SG.M.PF buttermilk LOC-fire","“Boiled buttermilk (stirred): it is produced when buttermilk is put on the fire.”"
"vol2text02","wa-yékən mən trɔ kɛ́ni kɛn mən ˁáľɛ wa-kɛn dɛg mən ľéḥe","and-be.3SG.M.IMPF from two.M shape.DU shape from upwards and-shape other from downward","“There are two kinds: the upper layer and the other one, the lower layer.”"
"vol2text02","kɛn də di-mən ˁáľɛ rího šə́ẓ̂har wa-kɛn də di-mən ľéḥe bə-šakľ ḥubeybát ḷəbhinítin (ḥənéke)","shape PROX.DEM GEN-from upwards water green.DU PROX.DEM GEN-from downward LOC-shape small.balls while.PL.F (small_white_balls_in_buttermilk)","“The upper layer is a greenish liquid and the lower layer is in the shape of small white balls (called ḥənéke).”"
"vol2text02","wa-yóusod ḥéḷob bə-ŝiyáṭ wa-yəḳóudof ˁəy ˁaf ľibhóḷ yənóutog wa-yəˁúḳaḷ ˁaf ḷə-ˁóŝi yékən mə́ḳdəf","and-put_on_fire.PASS.3SG.M.IMPF buttermilk LOC-fire and-stir.PASS.3SG.M.IMPF SUPE.3SG.M until be_cooked.3SG.M.JUSS remove_from_fire.PASS.3SG.M.IMPF and-put.PASS.3SG.M.IMPF until SUPE-dawn be.3SG.M.IMPF stirred_boiled_buttermilk","“Buttermilk is put on the fire and stirred until ready. Then it is taken off the fire and left until morning. Then it is mə́ḳdəf.”"
"vol2text02","ke ˁə́yyək tərɛ́ təḳádəf wa-ḷaṭ téroy","if want.2SG.M drink.2SG.M.JUSS stir.2SG.M.IMPF and-then drink.2SG.M","“If you want to drink it, stir it a bit and then drink.”"
"vol2text02","ḳáṭməhim yhe ḷə́bhon gɛ́məd (zúbda) wa-yóusod bə-fḥam di-ŝiyáṭ ˁaf ľaˁfɛ́ŝ yənóutog","butter 3SG.M white.M thick (butter) and-put_on_fire.PASS.3SG.M.IMPF LOC-coal.PL GEN-fire until boil.3SG.M.JUSS remove_from_fire.PASS.3SG.M.IMPF","“Fresh butter is white and thick (zubda in Arabic). It is put on glowing embers to boil, then taken off.”"
"vol2text02","wa-ḷə-ˁóŝi yəróugɛ mə́rgəhə di-ṣ̌ádhər waľľá di-sfəríyye wa-yətóuḳab ˁaf ľitéḳab di-ḥoz taľát énhor taḳríban wa-ḷaṭ yəḥóuror ˁəy","and-SUPE-dawn take_away.PASS.3SG.M.IMPF boiled_butter GEN-cooking_pot or GEN-pan and-collect.PASS.3SG.M.IMPF until collect.PASS.3SG.M.JUSS GEN-period_of_time three.F day.PL approximately and-then heat.PASS.3SG.M.IMPF SUPE.3SG.M","“In the morning the layer of butter is removed and put into a pot or pan. It is gathered in this way until a substantial amount is accumulated, over approximately three days. Then it is heated.”"
"vol2text02","wa-yəˁúmor bəy ṭaḳíḳ di-šəˁír waľľá írhɛz waľľá ṭaḳíḳ di-bámbe wa-yəˁúḳaḷ ˁaf ľibhóḷ yənóutog yékən ḥámˀi","and-make.PASS.3SG.M.IMPF LOC.3SG.M flour GEN-barley or rice or flour GEN-millet and-put.PASS.3SG.M.IMPF until be_cooked.3SG.M.JUSS remove_from_fire.PASS.3SG.M.IMPF be.3SG.M.IMPF clarified_butter”","“Then coarsely ground barley or rice or millet is added, and this is left until ready. Then it is removed from the fire. This is clarified butter.”"
"vol2text02","wa-ṣóuḷoḷ kor təkɛ́ˀɛ séro wa-ˀóutɛ séro","and-strain.PASS.3SG.F.IMPF for remain.3SG.F.IMPF cereals_and_butter and-eat.PASS.3SG.F.IMPF cereals_and_butter","“Then the clarified butter is separated and what is left (cereal with the remaining butter, séro) is eaten.”"
"vol2text02","wa-ḥámˀi ˁúmor di-ḳóme waľľá di-marṭabán wa-ṣóurof dəž wa-dəž ŝóuˀom wa-dəž héddu wa-dəž ḫázzanu tos ˁaf zɛm di-ˁígɛb həs","and-clarified_butter make.PASS.3SG.F.IMPF GEN-clay_pot or GEN-can and-use_as_food.PASS.3SG.F.IMPF other.F and-other.F sell.PASS.3PL and-other.F gift.PASS.3SG.F and-other.F store.3PL ACC.3SG.F until time GEN-want.PASS.3SG.M.PF for.3SG.F","“The clarified butter is put into a clay pot or into a can. Then some of it is consumed, some is sold, and some gifted. And some is kept until needed.”"
"vol2text02","ǯə́bna se ḳíṭaˁ ḷəbhinítin mən ḥéḷob báˁad-aḷ ḳídɛr","cheese 3SG.F piece.PL white.PL.F from buttermilk after-PF cook.PASS.3SG.M.PF","“Cheese is the white pieces of buttermilk after being cooked.”"
"vol2text02","wa-yəḳóudor ḥéḷob də di-téḳab wa-kíˀi mən ḥímaẓ̂ wa-mə́ḳdəf wa-ḥámdɛhɛr","and-cook.PASS.3SG.M.IMPF buttermilk PROX.DEM GEN-collect.PASS.3SG.M.PF and-remain.3SG.M.PF from souring_agent and-stirred_boiled_buttermilk and boiled_buttermilk","“The buttermilk is cooked—what has been accumulated from the remains of the souring agent, the stirred boiled buttermilk and the non-stirred boiled buttermilk.”"
"vol2text02","wa-yəŝóurof ˁəy wa-yəḳóudof ˁəy ˁaf ľiḳrɛ́r wa-ľiľbók yədóuˁor di-bíľe naẓ̂ífe","and-boil_over_fire.PASS.3SG.M.IMPF SUPE.3SG.M and-stir.PASS.3SG.M.IMPF until thicken.3SG.M.JUSS and-be_thick.3SG.M.JUSS pour.PASS.3SG.M.IMPF GEN-thing clean","“It is put on a very hot fire and stirred until very thick and concentrated, then it is poured onto a clean surface.”"
"vol2text02","wa-yəˁúḳaḷ bə-šə́yhom kor yəḳáŝaˁ wa-yékən ǯə́bna","and-put.PASS.3SG.M.IMPF LOC-heat_from_sun for dry.3SG.M.IMPF and-be.3SG.M.IMPF cheese","“Then it is put out to dry in the sun, and it becomes cheese.”"
"vol2text02","wa-ke kɔn ǯə́bna dəž yəhéddu wa-dəž óutɛ wa-dəž yəḫázzanu tos","and-when be.3SG.M.PF cheese other.F gift.PASS.3SG.IMPF and-other.F eat.PASS.3SG.F.IMPF and-other.F store.3PL ACC.3SG.F","“When it becomes cheese, some of it is gifted, some is eaten, and some is stored away.”"
"vol2text02","bóuḷog di-ḳáne di-ḥámˀi ˁaf sem di-ˁígɛb həs","leave.PASS.3SG.M.IMPF GEN-inside GEN-clarified_butter until until_then GEN-want.PASS.3SG.M.PF for.3SG.F","“It is put in clarified butter until the time it is needed.”"
"vol2text03","ifúḷ ɛ́ˀɛfo yənófəˁ tɛ bə-saḳɔ́ṭri","how people make.3PL.M.IMPF meat LOC-Soqotri","“How People Treat Meat on Soqotra”"
"vol2text03","ɛ́ˀɛfo bə-saḳɔ́ṭri ke ṣéḷəb wa-déḷaḳ šə́yhən tɛ wa-bíŝi taľľága di-ˁúḳaḷ bəs yəḳóudor ","people LOC-Soqotri when slaughter.3PL.M.PF and-be_numerous.3SG.M.PF APPL meat and-there_is_not refrigerator GEN-put.PASS.3SG.M.IMPF LOC cook.PASS.3SG.M.IMPF","“On Soqotra, when people slaughter and there is much meat and there is no refrigerator to put it in, the meat is cooked.”"
"vol2text03","báˁad-aḷ ḳídɛr yəŝóukok wa-ḷaṭ yənóuẓ̂a ḷə-ŝiyáṭ ˁaf ľigŝób məy rího súwa yəŝóuraˁ ḷə-raḥ","after-PF cook.PASS.3SG.M.PF skewer_meat_on_stick.3SG.M.IMPF and-then warm_at_fire.PASS.3SG.M.IMPF SUPE-fire until dry_out.3SG.M.JUSS ABLA.3SG.M water good hang.PASS.3SG.M.IMPF SUPE-wind","“When it has been cooked, it is skewered on wooden sticks and then jerked on the fire so that water thoroughly evaporates from it. Then it is hung in the open air.”"
"vol2text03","wa-ke šəgö́wə ṭa yətód hək ḥoz tri yhámi","and-when do.PASS.3SG.M.PF so wait.3SG.M.IMPF for period_of_time two.F day.DU","“When so processed, it will keep for you two days.”"
"vol2text03","wa-ke tɛ ney di-ˀaḷ-ḳídɛr aḷ-yənóuẓ̂a yəŝóukok wa-yəŝóuraˁ ḷə-raḥ wa-ˀaḷ-ˁad yətód kaḷ ṭəy šɔm","and-when meat raw GEN-NEG-cook.PASS.3SG.M.PF NEG-warm_at_fire.PASS.3SG.M.IMPF skewer_meat_on_stick.3SG.M.IMPF and-hang.PASS.3SG.M.IMPF SUPE-wind and-NEG-still wait.3SG.M.IMPF only one.F day","“And if the meat is raw (non-cooked), it cannot be jerked. It can be skewered and hung in the open air, but then it will keep for you one day only.”"
"vol2text03","wa-kə́ľľama ˁə́yyək taˁḳáḷ tɛ énhor di-déḷaḳ wáľľa ḷəhéddi di-šə́rḥəḳ təḳášəd-š","and-if want.2SG.M.PF put.2SG.M.JUSS meat day.PL GEN-be_numerous.3PL.F.PF and.even INTS.gift.JUSS GEN-be_distant.3SG.M.PF prepare_meat_preserves.2SG.M.IMPF-3SG.M.ACC","“But if you want to preserve the meat over many days or offer it as a gift in a faraway place, you must cure it.”"
"vol2text03","taḥáṣaḷ tɛ di-bər bɛ́hɛḷ ḥə́ṣhɛḷ wa-ˀaḷ-ḷáˁšɛr bəy di-ˁádəy fort","cut_meat_into_small_pieces.2SG.M.IMPF meat GEN-because be_cooked.3SG.M.PF piece_of_meat.PL and-NEG-add.2SG.M.JUSS INESS.3SG.M GEN-go.3SG.M.PF undigested_food","“Cut the meat which is cooked into small pieces, but do not put there any part through which non-digested food has passed.”"
"vol2text03","wa-nokíˁin ŝabḥ di-déḷaḳ wa-yhe ˁad aḷ-ḳídɛr wa-taḥáṣaḷ-š ḥə́ṣhɛḷ wa-ḷaṭ təboḷə́g-sən di-sfəríyye","and-bring.2SG.M.IMPF fat GEN-be_numerous.3SG.M.PF and-3SG.M as_yet NEG- cook.PASS.3SG.M.PF and-cut_meat_into_small_pieces.2SG.M.IMPF-3SG.M piece_of_meat.PL and-then put.IMPF.2SG.M-3PL.F.ACC GEN-pan","“Then bring a large portion of the animal fat which has not been boiled, cut it into pieces and put them into a pan.”"
"vol2text03","wa-ˀádaḥ bə-ŝiyáṭ ˁaf ľiyhób təbóḷəg díˀɛ ḥə́ṣhɛḷ di-tɛ di-ḳáne wa-ḳaróḥoḷ wa-ˁamíyin ˁésən","and-leave.PASS.3SG.M.IMPF LOC-fire until be_warm.3SG.M.JUSS put.2SG.M.IMPF GEN.2SG.M piece_of_meat.PL GEN-meat GEN-inside and-stir.2SG.M.IMPF and-cover.2SG.M.IMPF SUPE.3PL.F","“Then put it on the fire so that the fat melts, then throw in the cuts of meat and stir so that the fat covers the meat.”"
"vol2text03","wa-təŝórəf ˁəy bə-ŝiyáṭ ˁaf ľaˁfóŝ wa-ľibhóḷ wa-máḷaḥ bəy wa-ḳaróḥoḷ wa-ḷaṭ tənɛ́tog","and-boil_over_fire.2SG.M.IMPF SUPE.3SG.M  LOC-fire until boil.2SG.M.JUSS and-be_cooked.3SG.M.JUSS and-salt.2SG.M.IMPF INESS.3SG.M and-stir.2SG.M.IMPF and-then remove_from_fire.2SG.M.IMPF","“Then put it on a very hot fire until it boils and becomes ready. Then salt it, stir it again and take it off.”"
"vol2text03","wa-nokíˁin bíľe di-škéro di-ˁúḳaḷ bəy wa-toˁoḳíbin dəy wa-taˁáḳaḷ bəy ˁaf ľiḳṣám","and-bring.2SG.M.IMPF thing GEN-be_good.3SG.F.PF GEN-put.PASS.3SG.M.IMPF LOC.3SG.M and-pour_into_vessel.2SG.M.IMPF GEN.3SG.M and-put.2SG.M.IMPF INESS.3SG.M until become_cold.3SG.M.JUSS","“Then bring a suitable vessel where it can be kept and put it there and leave it there until it cools.”"
"vol2text03","wa-ľázəm ḥámˀi di-ŝabḥ téˁəm ḷə-ḥə́ṣhɛḷ di-tɛ","and-necessary clarified_butter GEN-fat cover.3SG.F.IMPF SUPE-piece_of_meat.PL GEN-meat","“Now the melted fat must cover the pieces of meat.”"
"vol2text03","wa-kaḷ ˁími ˁésən tənáḳaṣ mən ḥə́ṣhɛḷ bər təẓ̂ẓ̂óḷən","and-only cover.3SG.M.PF SUPE.3PL.F diminish.2SG.M.IMPF from piece_of_meat.PL because be_disordered.3PL.F.IMPF","“And if it does not cover them, reduce the number of pieces, because otherwise they’ll spoil.”"
"vol2text03","wa-də tɛ di-nóufaˁ ṭa yəˁúmor həy tɛ di-mə́ḳšəd wáľľa yəˁúmor həy mə́ḳšəd wa-yəšˁáḳoḷ hək ŝɛ́hɛr taḳríban","and-DEM.PROX meat GEN-make_good_impression.PASS.3SG.M.IMPF so say.PASS.3SG.M.IMPF to.3SG.M meat GEN-preserve.PL and.even say.PASS.3SG.M.IMPF to.3SG.M preserve.PL and-be_suitable_for_preservation.3SG.M.IMPF to.2SG.M month approximately","“The meat which has been processed in this way is called tɛ di-mə́ḳšəd or mə́ḳšəd and will keep about a month.”"
"vol2text06","taˁámər ḥeḷót-i","say.3SG.F.IMPF stepmother-1SG","“My Stepmother Says…”"
"vol2text06","irɛ́mo ṭəy ˁougéno fɔ́ne di-ṣámə ˁes díˀse bíyyo","be.3SG.F.PF one.F girl formerly GEN-die.3SG.F.PF SUPE.3SG.F GEN.3SG.F mother","“Once there was a girl whose mother died.”"
"vol2text06","ḷeṭ díˀse bɛ́bɛ báˁaḷ ˁáže diyáḥŝəs","do_again.3SG.M.PF GEN.3SG.F father marry.3SG.M.PF woman another.F","“Then her father married another woman.”"
"vol2text06","wa-ˁáže dəš di-baˁáḷ-əs dɛ́hɛr təŝorífin díˀse ˁag ḷə-díˀyhe ḷə-ˁougéno kor yaḥázaḷ-s wa-yəˀógəˀ-s","and-woman PROX.DEM.F GEN-marry.IMPF.3SG.M-3SG.F.OBJ always slander.3SG.F.IMPF GEN.3SG.F man SUPE-GEN.3SG.M SUPE-girl for hate.3SG.M.IMPF-3SG.F.ACC and-beat.3SG.M.IMPF-3SG.F.ACC","“And that woman, the one whom he married, was always slandering the girl in front of her father, to make him hate her and beat her.”"
"vol2text06","wa-ˁougéno məskíne wa-gaˁáro wa-bíŝi di-ˁáľeg tos wa-bíŝi di-šənóuḥor ˁar díˀse bíyyo ṣámə","and-girl poor.F and-fall_ill.3SG.F.PF and-there_is_not GEN-treat.3SG.M.PF ACC.3SG.F and-there_is_not GEN-complain.PASS.3SG.M.IMPF since GEN.3SG.F mother die.3SG.F.PF","“The girl got depressed, and she fell ill, but there was nobody to heal her, nobody to whom she could complain, since her mother had died.”"
"vol2text06","wa-ˁougéno dɛ́hɛr təráˁa tɛ́tən wa-se gaˁáro","and-girl always pasture.3SG.F.IMPF sheep.PL and-3SG.F fall_ill.3SG.F.PF","“And the girl was always busy with her sheep, and she was ill.”"
"vol2text06","wa-díˀse ḥéľo təstáhzi bəs taˁámər həs yáḷḷa tíˁid təríˁi tɛ́tən wa-təgorifé-sən","and-GEN.3SG.F stepmother mock.3SG.F.IMPF LOC.3SG.F say.3SG.F.IMPF to.3SG.F EXCLAM go.2SG.F.IMPF pasture.2SG.F.IMPF sheep.PL and-retrieve_livestock.2SG.F.IMPF-3PL.F.ACC","“And her stepmother scoffed at her and said: ‘Go, graze your sheep and bring them back to the pen in the evening.”"
"vol2text06","i təbódi aḷ-góˁorš ˁar tíˁid kə-məgɔ́šə wa-tənéḥig šə́yhən wa-ḷaṭ əgḥíḷoḷš","2SG.F lie.2SG.F.IMPF NEG-fall_ill.2SG.F.PF since go.2SG.F.IMPF COM-boy.PL and-play.2SG.F.IMPF COM.3PL.M and-then be_pregnant.2SG.F.PF","“You are lying—you’re not ill, but go with boys and play with them, finally getting yourself pregnant!’”"
"vol2text06","wa-ˁougéno aḷ-ˁádo kə-məgɔ́šə wa-ˀaḷ-naḥágo šə́yhən wa-ˀaḷ-šənhéro kaḷ təráˁa díˀse tɛ́tən dɛ́hɛr","and-girl NEG-go.3SG.F.PF COM-boy.PL and-NEG-play.3SG.F.PF COM.3PL.M and-NEG-transgress.3SG.F.PF every pasture.3SG.F.IMPF GEN.3SG.F sheep.PL always","“But the girl did not go with any boys and did not play with any and did not sin in any way—she was busy with her sheep all the time.”"
"vol2text06","wa-díˀse ḥéľo tö́bod ˁes wa-mído məs wa-ˁigɛ́bo kor óugɛ ˁougéno","and-GEN.3SG.F stepmother lie.3SG.F.IMPF SUPE.3SG.F and-be_tired_of_somebody.3SG.F.PF from.3SG.F and-want.3SG.F.PF for beat.PASS.3SG.F.IMPF girl","“And her stepmother continued to lie about her, for she wanted to get rid of her, and she did her best to make her husband beat the girl.”"
"vol2text06","wa-ḷeṭ ˁougéno əgéˀ-əs díˀse bɛ́bɛ béne","and-do_again.3SG.M.PF girl beat.3SG.M.PF-3SG.F.ACC GEN.3SG.F father INTS","“And her father beat her again hard.”"
"vol2text06","ˁö́mor həs ɛmɛ́no ˁeš díˀi ḥéľo bər tíˁid kə-məgɔ́šə íhin təbódi aḷ-góˁorš","say.3SG.M.PF to.3SG.F speak_truthfully.3SG.F.PF SUPE.2SG.F GEN.2SG.F stepmother SUBR go.2SG.F.IMPF COM-boy.PL 2SG.F lie.2SG.F.IMPF NEG-fall_ill.2SG.F.PF","“He said: ‘Your stepmother was right when she said that you go with boys! You’re lying, you’re not ill.’”"
"vol2text06","wa-ḷaṭ əgéˀ-əs bə-márḳaḥ ˁaf tö́boš ˁö́mor həs yáḷḷa tíˁid təríˁi tɛ́tən wa-təgorifé-sən wa-ˀaḷ-taˁyhɛ́fən kenš wáľľa əḷátaˁ-š","and-then beat.3SG.M.PF-3SG.F.ACC LOC-stick until weep.3SG.F.IMPF say.3SG.M.PF to.3SG.F EXCLAM go.2SG.F.IMPF pasture.2SG.F.IMPF sheep.PL and-retrieve_livestock.2SG.F.IMPF-3PL.F.ACC and-NEG-disappear.3PL.F.JUSS from.2SG.F or kill.1SG.IMPF-2SG.F.ACC","“And he beat her with a stick till she wept, then he said to her: ‘Go, graze your sheep and bring them back to the pen. And may none get away from you, or I’ll kill you!’”"
"vol2text06","ṭahɛ́ro ˁougéno wa-se tóˁod tö́boš tḥer bəs díˀse bɛ́bɛ wa-se gaˁáro","go.3SG.F.PF girl and-3SG.F walk.3SG.F.IMPF weep.3SG.F.IMPF hurt.3SG.M.PF LOC.3SG.F GEN.3SG.F father and-3SG.F fall_ill.3SG.F.PF","“The girl left, and she walked and wept: her father had hurt her, and she was already ill.”"
"vol2text06","wa-ḷeṭ díˀse bɛ́bɛ béḷog ˁes díˀse ḳáḳa ˁö́mor hiš tóˁod wa-təkós ˁes inɛ́m taˁámər","and-do_again.3SG.M.PF GEN.3SG.F father send.3SG.M.PF SUPE.3SG.F GEN.3SG.F brother say.3SG.M.PF for.3SG.M go.3SG.F.IMPF and-hid.2SG.M.IMPF SUPE.3SG.F what say.3SG.F.IMPF","“Then her father sent her brother after her, and said to him: ‘Go and spy on her—What will she do and what will she say?’”"
"vol2text06","ṭáhɛr ˁouyɛ́ghɛn wa-kes ˁes inɛ́m taˁámər","go.3SG.M.PF boy and-hide.3SG.M.PF SUPE.3SG.F what say.3SG.F.IMPF","“The boy went out and hid from his sister to see what she would do and say.”"
"vol2text06","wa-hímaˁ tóˀo tənótər","and-hear.3SG.M.PF as speak_in_verse.3SG.F.IMPF","“And he heard how she declaimed:”"
